likes,body,url
34,"В -60кг в Абу Даби Лутфиллаев прошел Мхеидзе и вышел на Абуладзе! Сметов победил Китадаи и теперь встретится с Плафки, остановившим Гусейнова, Гарригос выиграл у представителя Индии.

В -66кг Сафаров остановил Фликера, его следующим соперником станет Пуляев, выигравший у марроканца. С другой стороны этой группы идут Медвес и Серикжанов. Ан Ба-Ул выиграл у Нуриллаева и вышел на Шмаилова, Зантарая также прошел второй круг и теперь встретится с монголом Йондонперенлеи. При победе обоих Ан и Зантарая встретятся уже в следующем круге. Шамилов уступил во втором круге Ганболду, с другой стороны группы уверенно идет Ломбардо, выигравший у представителя Саудовской Аравии. 

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-17.userapi.com/c858024/v858024857/ba0b0/cOE4fToo79U.jpg
43,"Первые итоги Большого Шлема в Абу Даби:

В -60 Мхеидзе прошел Штаркеля и вышел на Лутфиллаева, Герчев проиграл Лопесу, Ли Ха-Рим прошел Суфиева и станет первым соперником Кыргызбаева, Лхагваджамц вышел на Мшвидобадзе, Гусейнов прошел Чой Ин-Хьюка и вышел на Плафки, 

В -66 Маргвелашвили победил Бернса, Жумаканов остановил Ядова, Гайтеро выиграл у Те и Ахадова, Пуляев прошел Сезара, Ан Ба-Ул победил Шихализаде, Зантарая прошел Темелькова и вышел на Ле Блуша, Шамилов выиграл у соперника из Албании и вышел на Ганболда, Шершань прошел Петрикова и будет бороться с Серикжановым.

В -48кг Сабина Гилязова прошла соперницу из Северной Кореи, а Алеся Кузнецова - китаянку, в -52кг Анастасия Поликарпова выиграла у монголки, в -57кг Анастасия Голомидова уступила Ивелине Ильевой. 

Следим за турниром в прямом эфире на live.ijf.org",https://sun9-31.userapi.com/c858028/v858028407/ba0e2/pAuS4QUwrFI.jpg
52,"В Абу Даби начался первый день Большого Шлема! Сегодня у нас -60кг -66кг у мужчин, а также -48кг, -52кг и -57кг у женщин.

Сетки и трансляция на live.ijf.org
Также сетки есть на ippon.org, а трансляция на ippon.tv",https://sun9-17.userapi.com/c856020/v856020781/135742/ErMrbrsi0Yc.jpg
113,"Сетки Большого Шлема в Абу Даби уже доступны на http://www.ippon.org/gs_uae2019.php

Турнир стартует завтра в 8:00 мск, трансляция пройдет на live.ijf.org.",https://sun9-50.userapi.com/c855416/v855416266/12f133/roX3Aenev58.jpg
116,"Паула Парето перенесла операцию на шею. Как сама спортсменка отметила в соцсетях, она долго не могла решиться на этот шаг, но предпочла больше не бороться с болью, чтобы подойти к Олимпиаде в лучшей форме.",https://sun9-59.userapi.com/c858232/v858232795/bad17/cMJIm9Kiiok.jpg
46,"В Абу Даби начинается жеребьевка Большого Шлема!

После окончания сетки появятся на ippon.org и live.ijf.org",https://sun9-26.userapi.com/c856020/v856020795/135439/AITiX_dtUb8.jpg
137,"Международная Федерация Дзюдо приняла окончательное решение отстранить Федерацию Дзюдо Ирана от участия в соревнованиях, проводимых IJF и континентальными союзами (ранее Иран был отстранен временно до принятия этого решения).",https://sun9-36.userapi.com/c856020/v856020795/1353ee/xlcoKAITA1c.jpg
180,"Сегодня 22 года исполняется Даниэлу Мукете - призеру Гран При в Ташкенте и Большого Шлема в Екатеринбурге, Кубка Европы в Праге, а также победителю молодежного Первенства Европы и Всемирных Игр Военных.",https://sun9-67.userapi.com/c853516/v853516795/134341/O4Xc1EWiaI4.jpg
44,Оргкомитет Олимпиады-2024 представил эмблему турнира.,https://sun9-67.userapi.com/c853516/v853516795/134341/O4Xc1EWiaI4.jpg
148,"Сегодня 23 года исполняется Саре Асахина - двукратной чемпионке мира, победительнице 7 турниров IJF, Универсиады и не только.",https://sun9-29.userapi.com/c857720/v857720554/b8872/S4TKbuKDnSw.jpg
146,"Всего каких-то 55 лет назад в этот день проходили соревнования дзюдоистов на Олимпийских Играх в Токио, на которых дзюдо было впервые включено в программу! 
 
Боролись тогда только в четырех весовых категориях и, конечно, только мужчины. Тремя победителями стали японцы: Исао Инокума, Исао Окано, Такехиде Накатани, но в абсолютной весовой категории планы родоначальников дзюдо разрушил вошедший в историю голландец Антон Геесинк! 
 
СССР без призовых мест тогда тоже не остались: бронзовые медали завоевали Арон Боголюбов, Олег Степанов, Анзор Кикнадзе и Парнаоз Чиквиладзе!",https://sun9-29.userapi.com/c857720/v857720554/b8872/S4TKbuKDnSw.jpg
99,Лучшие иппоны первенства мира среди юниоров в Марракеше.,https://sun9-29.userapi.com/c857720/v857720554/b8872/S4TKbuKDnSw.jpg
102,"Большой Шлем в Абу Даби начинается уже в этот четверг! Составы как всегда закрыты, на афише - Ринер, Базиле, Кельменди, Трстеньяк, Белодед, Фонсека, Ван Т Энд и Крпалек.",https://sun9-51.userapi.com/c856520/v856520554/161d9/AVP_Dw6TpYs.jpg
